Region,Dose,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-19,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-25,2021-09-26,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-02,2021-10-03,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-09,2021-10-10,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-16,2021-10-17
Total,First,420,5202,8345,8656,8656,8656,8656,8656,8656,8656,8656,9061,10504,10709,10709,10709,10709,10710,10710,10710,10711,12831,13788,13811,13811,24862,44227,53536,56593,57004,57004,57004,57021,57040,57041,57041,57041,57042,57042,57042,70227,240613,414658,583493,611346,619984,841501,1084013,1356461,1607871,1837156,1866683,1871151,2137028,2357111,2545165,2700446,2842584,2852225,2853387,2961501,3055709,3141814,3227758,3306042,3316086,3316441,3453608,3612572,3770429,3915177,4051406,4061052,4062118,4198738,4337773,4473593,4645034,4796283,4820573,4823322,4981204,5147853,5299163,5448012,5587901,5611090,5613943,5760713,5911017,6065318,6222796,6389407,6402352,6403321,6554580,6688571,6815676,6950477,6952335,6954216,6954874,7034827,7127998,7222898,7299657,7370540,7381732,7382830,7460957,7535984,7615340,7677642,7736046,7743952,7744828,7788747,7827982,7859131,7915505,7955353,7961103,7961454,8004525,8043547,8087045,8117914,8168857,8169948,8170747,8246761,8327827,8409333,8490929,8575022,8592408,8593368,8696680,8804101,8908951,9005972,9109217,9110268,9110533,9235122,9371221,9496968,9625471,9633773,9660609,9664305,9840170,10030045,10210720,10377664,10523120,10564719,10573838,10729803,10869237,10978337,11033958,11076347,11091100,11093080,11146971,11207201,11283820,11380167,11460797,11483514,11484938,11590005,11675106,11780703,11851657,11913137,11929714,11931510,11938829,12038467,12114004,12162474,12200670,12211757,12212790,12214036,12254035,12302152,12389047,12454491,12470045,12472051,12519820,12563532,12637353,12695409,12746004,12766011,12768409,12817618,12897841,12952570,13024108,13026236,13036199,13037130,13084779,13124984,13158341,13194202,13252388,13275432,13277494,13292982,13302271,13309337,13317994,13326368,13327428,13327462,13427001,13539823,13544615,13547881,13550871,13551112,13551168,13628068,13696105,13698926,13701257,13703354,13703635,13703859,13742418,13776701,13778627,13780196,13781506,13781684,13781760,13806791,13828946,13843315,13844893,13846309,13846532,13846609,13864554,13882196,13883605,13884859,13885811,13885994,13886012,13900719,13915927,13917090,13918168,13919078,13919253,13919273,13980954,14028032,14079438,14103714,14103787,14103789,14103789.0,14103789.657950,14103789.65795615290,14103789.6579561529737600,14103789.657956152973760513350,14103789.65795615297376051335716650,14103789.65795615297376051335716657790,14103789.65795615297376051335716657791160,14103789.6579561529737605133571665779116988000,14103789.6579561529737605133571665779116988001209220,14103789.6579561529737605133571665779116988001209221234410,14103789.6579561529737605133571665779116988001209221234411150290,14103789.6579561529737605133571665779116988001209221234411150291049240,14103789.65795615297376051335716657791169880012092212344111502910492459300,14103789.65795615297376051335716657791169880012092212344111502910492459304140,14103789.6579561529737605133571665779116988001209221234411150291049245930414835480,14103789.657956152973760513357166577911698800120922123441115029104924593041483548769180,14103789.65795615297376051335716657791169880012092212344111502910492459304148354876918695380,14103789.6579561529737605133571665779116988001209221234411150291049245930414835487691869538636360,14103789.657956152973760513357166577911698800120922123441115029104924593041483548769186953863636545450,14103789.6579561529737605133571665779116988001209221234411150291049245930414835487691869538636365454520110,14103789.6579561529737605133571665779116988001209221234411150291049245930414835487691869538636365454520111030,14103789.6579561529737605133571665779116988001209221234411150291049245930414835487691869538636365454520111035180,14103789.657956152973760513357166577911698800120922123441115029104924593041483548769186953863636545452011103518577920,14103789.65795615297376051335716657791169880012092212344111502910492459304148354876918695386363654545201110351857792577380,14103789.6579561529737605133571665779116988001209221234411150291049245930414835487691869538636365454520111035185779257738493390,14103789.657956152973760513357166577911698800120922123441115029104924593041483548769186953863636545452011103518577925773849339395260,14103789.6579561529737605133571665779116988001209221234411150291049245930414835487691869538636365454520111035185779257738493393952618180,14103789.657956152973760513357166577911698800120922123441115029104924593041483548769186953863636545452011103518577925773849339395261818340
Total,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,5829,8303,8370,8370,8370,8371,8371,8371,8375,8375,8375,9778,10373,10407,10407,10412,10412,10413,10413,10419,10419,12527,13197,13202,13204,24986,44375,52720,55608,55818,55851,55851,55851,55863,55863,55864,55864,55864,55864,55886,55926,56100,56245,56363,56367,56367,56776,69196,223317,389198,550955,575101,582001,796127,1033725,1299346,1545074,1768312,1794498,1798338,2070853,2314553,2530642,2716845,2871652,2882671,2883843,3005878,3096521,3161355,3216614,3267756,3270504,3270928,3386493,3531241,3684539,3853154,3858339,3859687,3860154,4065114,4211845,4350293,4513151,4661282,4676123,4677479,4836453,4996838,5147061,5292015,5427927,5442319,5444084,5595306,5745492,5891986,6036389,6180237,6192175,6192867,6346550,6479111,6604791,6729365,6766309,6767519,6768186,6844096,6932769,7026484,7103203,7167117,7175329,7175775,7246234,7331620,7410161,7470864,7527137,7527544,7527715,7574829,7622562,7663863,7727247,7728612,7734898,7735487,7796646,7853594,7901993,7938300,7979212,7985004,7985979,8045663,8117274,8189094,8257696,8326173,8339240,8340471,8440586,8545091,8645469,8739116,8833475,8842878,8843473,8955968,9078010,9195440,9305500,9348943,9368820,9370967,9383308,9588839,9752579,9893813,10016801,10048552,10051932,10055068,10232683,10366725,10448645,10513556,10532556,10534660,10631602,10710633,10794191,10888948,10973959,10995808,10998349,11124840,11225842,11331336,11421907,11424511,11437973,11439175,11512254,11604750,11674859,11715832,11772531,11782682,11783542,11823909,11864937,11892522,11973724,12041872,12052008,12052443,12076140,12101528,12161256,12204127,12235678,12236589,12236611,12257835,12277305,12395151,12474472,12523563,12524568,12524768,12546740,12570479,12647513,12706732,12761299,12763116,12763312,12788121,12806059,12819546,12899206,12951676,12952813,12952979,13030145,13120416,13153641,13177172,13193958,13194439,13194473,13253650,13314770,13329952,13340947,13349901,13350316,13350347,13389033,13427710,13442988,13450898,13450947,13450951,13450953,13473373,13496892,13514240,13524973,13534185,13534454,13534476,13551804,13571364,13582428,13590917,13598079,13598390,13598447,13613411,13628868,13636006,13641868,13647294,13647530,13647549,13647797,13707385,13756633,13785625,13801977,13802355,13802373
Arica y Parinacota,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905,2133,2821,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2978,4421,7254,9648,9953,9987,12422,14975,17995,20754,23641,23759,23759,26412,28492,30654,32785,34849,34904,34904,36896,38807,40131,41273,43327,43523,43523,45007,46216,47229,48058,49065,49129,49131,50266,51286,52518,54161,55498,55596,55596,56869,58539,60081,62264,63363,63427,63427,64607,65953,67402,68902,70443,70577,70577,71939,73330,74546,75710,75796,75938,75939,76910,78308,79244,80186,80445,80446,80446,81371,82300,83309,84031,84730,84761,84761,85507,86265,86952,87932,88340,88405,88405,89017,89776,90408,90835,91280,91285,91285,92179,92996,94142,95085,95931,96016,96016,97212,98512,99712,100947,102050,102110,102116,103376,104803,106267,107804,107962,108767,108767,110813,113250,115315,117585,119536,119956,119957,122044,123969,124465,124472,124490,124493,124493,124676,126100,127813,129850,131562,132131,132138,133862,135558,137196,138410,139516,139822,139822,139900,141255,142631,144133,145385,145797,145797,145800,146014,146256,146970,147520,147692,147692,148137,148698,149504,150637,151715,152139,152139,153259,154670,155832,156863,156863,157367,157367,158565,159630,160624,161816,163147,163921,163921,164273,164725,165351,165813,166281,166312,166313,167867,169526,169548,169567,169577,169577,169577,170606,171615,171636,171651,171661,171663,171663,172351,172779,172797,172819,172830,172833,172837,172952,173078,173145,173159,173168,173168.0,173168.0,173168.1350,173168.1351510,173168.13515150,173168.1351515170,173168.13515151740,173168.13515151740,173168.135151517410,173168.135151517412650,173168.135151517412652470,173168.13515151741265247110,173168.1351515174126524711520,173168.13515151741265247115290,173168.13515151741265247115290,173168.13515151741265247115290,173168.13515151741265247115296740,173168.13515151741265247115296745430,173168.13515151741265247115296745435650,173168.13515151741265247115296745435653930,173168.1351515174126524711529674543565393550,173168.1351515174126524711529674543565393550,173168.1351515174126524711529674543565393550,173168.1351515174126524711529674543565393557090,173168.1351515174126524711529674543565393557097010,173168.1351515174126524711529674543565393557097017100,173168.1351515174126524711529674543565393557097017106230,173168.1351515174126524711529674543565393557097017106239800,173168.135151517412652471152967454356539355709701710623980470,173168.135151517412652471152967454356539355709701710623980470,173168.1351515174126524711529674543565393557097017106239804713170,173168.13515151741265247115296745435653935570970171062398047131715060,173168.135151517412652471152967454356539355709701710623980471317150615690,173168.1351515174126524711529674543565393557097017106239804713171506156913830,173168.13515151741265247115296745435653935570970171062398047131715061569138313900,173168.13515151741265247115296745435653935570970171062398047131715061569138313902920,173168.135151517412652471152967454356539355709701710623980471317150615691383139029240,173168.1351515174126524711529674543565393557097017106239804713171506156913831390292411290,173168.1351515174126524711529674543565393557097017106239804713171506156913831390292411299210,173168.1351515174126524711529674543565393557097017106239804713171506156913831390292411299217870,173168.1351515174126524711529674543565393557097017106239804713171506156913831390292411299217876960,173168.1351515174126524711529674543565393557097017106239804713171506156913831390292411299217876966820,173168.1351515174126524711529674543565393557097017106239804713171506156913831390292411299217876966821710,173168.1351515174126524711529674543565393557097017106239804713171506156913831390292411299217876966821710,173168.135151517412652471152967454356539355709701710623980471317150615691383139029241129921787696682171750,173168.135151517412652471152967454356539355709701710623980471317150615691383139029241129921787696682171757910,173168.135151517412652471152967454356539355709701710623980471317150615691383139029241129921787696682171757916080,173168.135151517412652471152967454356539355709701710623980471317150615691383139029241129921787696682171757916087940,173168.135151517412652471152967454356539355709701710623980471317150615691383139029241129921787696682171757916087945080,173168.13515151741265247115296745435653935570970171062398047131715061569138313902924112992178769668217175791608794508790,173168.13515151741265247115296745435653935570970171062398047131715061569138313902924112992178769668217175791608794508790
Arica y Parinacota,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,2101,2744,2812,2815,2815,2815,2815,2815,2815,2815,2815,2815,2815,2816,2831,2842,2854,2862,2863,2863,2865,2926,4179,7017,9246,9507,9534,11832,14353,17185,19934,22780,22876,22876,25826,28676,31369,33870,36018,36063,36063,38180,40286,41499,42306,43074,43080,43080,43963,44999,45827,46702,46710,46714,46715,48280,49569,50805,52339,53429,53482,53482,54258,56003,57723,59563,60485,60537,60539,61189,63186,64725,65447,66917,66952,66955,68556,70226,71555,72623,73010,73010,73011,73932,75041,75920,76111,76326,76334,76334,77506,78738,79605,80125,80721,80737,80740,81662,82638,83402,84147,84189,84345,84346,85199,86017,86665,87391,87965,88006,88009,88761,89989,90543,91348,92071,92170,92173,92372,93995,95354,96905,98243,98453,98456,99504,100872,102219,103722,104672,105080,105082,105210,107492,109680,111667,113430,113978,113981,113996,116338,118091,118991,119582,119775,119776,120408,121476,122853,124382,125907,126370,126372,127970,129229,130804,132305,132309,132858,132858,134105,135371,136655,138006,139244,139738,139738,140557,141231,141803,142572,143250,143473,143473,143633,143794,144409,144514,144599,144600,144600,144743,144870,146343,147250,147768,147771,147771,147883,148009,149646,151000,151920,152153,152190,152369,152447,152528,154969,157067,157092,157092,158130,159151,160340,161218,161893,161922,161923,162713,163553,163927,164193,164442,164445,164445,165138,165773,166088,166336,166369,166369,166369,166681,167013,167224,167399,167559,167565,167566,167766,168031,168234,168378,168495,168513,168513,168735,168965,169087,169189,169275,169296,169296,169323,169906,170362,170719,170987,171004,171004
Tarapacá,First,0,0,0,0,0,0,0,0,0,0,0,0,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,334,2498,4514,6931,7471,7471,10865,14867,19680,23997,28214,28385,28385,33617,38452,41933,44136,46281,46390,46390,47965,49677,52051,54199,55711,55784,55784,57687,59599,61302,63084,65080,65190,65190,67069,68798,70369,72496,74653,74855,74855,77144,79681,82032,84423,87002,87241,87241,89635,92068,94744,96979,99702,99806,99806,102276,104429,106424,108354,108382,108410,108450,110272,112428,114611,116303,117951,118099,118127,120214,121965,123801,125456,127467,127662,127719,129722,131818,133616,135060,136442,136683,136696,138176,139688,141519,142607,143726,143816,143921,145636,147062,148463,149690,150956,151653,151723,153326,154904,156525,157912,159510,159552,159556,161173,162811,164292,165812,165910,166607,166722,169856,173139,176147,178640,181180,182129,182269,184971,187263,189363,191105,192671,193351,193390,195105,196553,198054,199557,200902,201363,201368,203137,204426,205925,207000,208051,208385,208407,208415,209983,211810,213630,215213,215499,215529,215572,216532,217277,218344,219181,219347,219358,220196,221203,222610,223891,225378,225824,225829,227471,229291,230844,232285,232305,232656,232656,234430,236009,237455,239380,241066,241485,241498,243152,244710,246013,247128,248216,248586,248599,249666,250962,251555,251961,252281,252423,252427,253471,254361,254676,254951,255217,255354,255355,256262,256962,257041,257115,257173,257208,257233,257326,257389,257470,257537,257615,257658,257670,257793,257883,257965,258041,258121,258141,258141,258208,258279,258316,258348,258397,258415,258415,258820,259185,259685,259998,259998.0,259998.0,259998.0,259998.6680,259998.6686130,259998.6686138170,259998.6686138176550,259998.6686138176558280,259998.6686138176558281330,259998.6686138176558281330,259998.66861381765582813316970,259998.668613817655828133169720250,259998.6686138176558281331697202522360,259998.66861381765582813316972025223619830,259998.668613817655828133169720252236198321830,259998.668613817655828133169720252236198321834330,259998.6686138176558281331697202522361983218343320,259998.66861381765582813316972025223619832183433216410,259998.668613817655828133169720252236198321834332164112620,259998.6686138176558281331697202522361983218343321641126213820,259998.66861381765582813316972025223619832183433216411262138213560,259998.668613817655828133169720252236198321834332164112621382135613320,259998.668613817655828133169720252236198321834332164112621382135613322220,259998.6686138176558281331697202522361983218343321641126213821356133222220,259998.66861381765582813316972025223619832183433216411262138213561332222260,259998.668613817655828133169720252236198321834332164112621382135613322222610330,259998.6686138176558281331697202522361983218343321641126213821356133222226103311520,259998.66861381765582813316972025223619832183433216411262138213561332222261033115210980,259998.66861381765582813316972025223619832183433216411262138213561332222261033115210988700,259998.66861381765582813316972025223619832183433216411262138213561332222261033115210988701270,259998.668613817655828133169720252236198321834332164112621382135613322222610331152109887012710
Tarapacá,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,158,158,158,159,159,159,159,159,291,2219,4148,6416,6924,6924,10153,14047,18583,22664,26785,26988,26988,32046,37456,42327,45982,48670,48832,48832,50698,51782,52747,53527,54401,54454,54454,56042,57741,59388,61516,61517,61517,61519,64474,66439,68233,70191,71809,71943,71945,74373,76893,79237,81423,83761,83932,83932,86534,89056,91515,93322,95171,95307,95308,98272,100329,102387,104288,105002,105026,105055,106726,108545,110038,112018,113567,113913,113913,115895,117608,119098,120640,122370,122371,122371,124419,126475,128486,130434,130478,130788,130813,132599,134240,135865,137248,138380,138601,138637,140258,141778,143132,144308,145649,145966,145974,147701,149224,150698,152061,153562,153766,153767,155257,156737,158263,159614,160280,160708,160710,160733,164238,167452,170203,172645,173481,173507,173614,177036,179670,181562,183259,183714,183731,185822,187448,189049,190656,192156,192571,192577,194430,195761,197298,198868,198881,199317,199321,200512,202044,203667,205373,206933,207217,207225,208164,209226,210166,211320,212260,212476,212479,213339,214405,215804,216872,218057,218402,218404,219669,220260,221528,222425,222947,223177,223185,223974,224804,226471,228030,229863,230291,230361,231369,232304,233509,234769,236999,237511,237568,238904,240064,241182,241962,242637,242814,242819,243619,244344,244913,245384,245835,245970,245970,246799,247525,247977,248232,248233,248233,248233,248588,248881,249121,249315,249521,249578,249578,249818,250072,250283,250477,250652,250698,250699,250917,251103,251249,251380,251535,251563,251563,251565,251987,252488,252800,253010,253038,253038
Antofagasta,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774,5338,6111,6111,6111,6111,6111,6111,6111,6111,6111,6111,6111,6111,6111,6331,9319,12797,15857,16041,16041,19625,24055,29762,36331,42681,43451,43456,50656,56078,60874,65006,69049,69206,69206,73124,76693,79919,82266,84812,84812,84812,88989,93750,98497,102867,106612,106619,106619,110907,116099,120721,126443,131645,131764,131764,136833,142341,148346,153562,158842,159205,159249,165260,171385,177047,182320,187551,187936,188122,193678,198776,203736,208449,208742,209198,209393,212574,216068,219898,222992,225577,226096,226240,229551,232684,235779,238409,240956,241943,242077,243540,244554,245424,247009,248127,248693,248718,249673,250586,251484,252193,253587,253620,253656,256496,259865,263056,266220,269095,270334,270589,274479,278359,281959,285387,289071,289346,289426,294048,299439,304156,308684,309205,310234,310438,317508,325317,331177,337693,343558,343807,343936,350395,352838,354769,357343,360390,360927,360947,363999,367448,371827,376175,379743,381006,381029,384896,388477,392738,395811,398530,398885,398936,399680,403541,407292,408927,409675,409793,409806,410250,411672,413651,416831,419304,419740,419775,421778,423673,426554,429103,431386,432070,432107,434637,438252,441245,444117,444900,445790,445827,448750,451740,454537,458392,461726,462329,462349,462560,462706,463274,463728,463866,463870,463870,467629,472499,472510,472525,472532,472532,472532,475767,478825,478841,478864,478881,478882,478883,480669,482451,482481,482489,482508,482508,482508,484147,485459,486368,486443,486454,486455,486455,487557,488559,488577,488594,488606,488606,488606,489399,490171,490185,490201,490225,490225,490225,492642,494386,496106,496837,496837,496837,496837,499699,502309,505301,507520,510280,510316,510316,514348,519694,525524,531177,535706,536699,536700,540373,543243,545760,548010,550124,550129,550130,550499,552418,554231,555805,557520,557711,557711
Antofagasta,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,5243,5877,5877,5888,5888,5888,5888,5889,5889,5889,5889,5889,5889,5890,5896,6009,6028,6031,6032,6032,6034,6555,9499,12771,15432,15501,15501,19052,23382,28874,35210,41280,41842,41842,49781,56590,62615,67447,72082,72237,72242,75811,78358,80431,82193,83786,83789,83809,87393,91802,96196,101207,101239,101245,101251,107481,112682,117408,121417,127227,127434,127448,132922,138067,143462,148546,153233,153970,154025,160242,165747,170944,176033,180845,181397,181559,186696,190401,194502,199539,201420,201579,201710,204970,208548,212562,215598,218197,218761,218883,221730,225038,227981,230171,232532,232625,232734,234675,236423,237797,239701,239838,240141,240175,242010,243709,244794,245865,247280,247319,247350,249547,251913,254472,256881,259006,259365,259413,263193,266890,270344,273655,277017,277646,277748,282044,286626,291181,295274,297246,297765,297915,299214,307506,314537,319478,324096,324939,324966,325578,331032,334430,337195,340011,340580,340614,344863,348521,352553,356763,360143,361196,361229,366445,370611,374643,378657,379515,380391,380456,383628,387810,391442,393807,395590,395851,395863,397618,398933,400557,403258,405374,405722,405729,406417,407087,408429,409061,409526,409533,409533,409920,410256,415164,418002,419808,419833,419837,420700,421955,427341,430889,433480,433483,433485,434633,435494,436563,442223,446191,446194,446196,449054,452642,454112,455187,456089,456091,456092,458562,461069,461658,462070,462433,462435,462435,464349,466328,467206,467515,467515,467515,467515,468767,470082,471064,471672,472109,472113,472113,472943,473779,474269,474680,474980,475007,475007,475765,476598,476989,477301,477600,477603,477603,477744,479970,481663,482714,483302,483358,483358
Atacama,First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,1647,2519,3606,3870,3870,3870,3870,3870,3870,3870,3870,3870,3870,3870,3872,9470,15296,20174,20629,20629,24238,26659,28892,30968,33487,33965,33965,36081,37974,39873,41817,42908,42961,42963,44882,47316,49662,51953,53485,53561,53561,54942,56129,57101,58258,60281,60580,60580,62556,64511,66358,68416,70448,70552,70552,72905,75242,77483,79659,81409,81410,81422,83928,86512,89015,91305,93741,93741,93741,95954,98023,99774,101463,101463,101463,101463,103094,104638,106424,107650,109201,109332,109332,109758,111313,112720,113857,114900,114900,114900,116032,117425,118342,119415,120331,120331,120331,121132,122269,123377,124248,125377,125377,125377,126868,128415,129756,131109,132781,132971,132971,134512,136308,137907,139275,140957,140985,140985,142744,144753,146748,148591,148591,148803,148803,151855,155433,158654,161841,164153,164155,164155,167049,169947,172280,173612,174342,174364,174364,175609,177426,179241,180764,182314,182418,182418,183898,184990,186225,187673,189063,189081,189081,189081,190880,191927,193180,194483,194543,194543,194559,195309,195943,196909,197783,197950,197950,199511,200801,202457,203979,205480,205722,205722,207576,209666,211327,212906,212989,212989,212990,214575,215895,216760,217766,218683,218709,218709,219052,219324,219516,219700,219831,219832,219832,221275,223228,223247,223261,223281,223281,223281,224623,225896,225913,225928,225940,225940,225940,226731,227551,227564,227574,227587,227589,227589,228318,229014,229302,229318,229326,229326,229326,229863,230432,230441,230454,230460,230460,230460,231023,231501,231507,231520,231529,231529,231529,232685,233649,234713,235047,235047,235047,235047,236164,237301,238408,239466,240837,240837,240837,242347,244312,246631,248702,250780,250935,250935,252637,254231,255728,257131,258561,258561,258561,258561,260097,261340,262277,263089,263222,263222
Atacama,Second,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,8,505,1754,2675,3673,3752,3752,3752,3752,3753,3753,3753,3753,3753,3753,3753,3753,3754,3761,3788,3788,3788,3797,4470,9496,14716,19319,19745,19746,23250,25691,27924,30041,32506,32878,32878,35367,38203,41098,42961,44210,44234,44240,45923,47621,49002,50913,52246,52247,52247,53322,54594,56045,57565,57568,57568,57568,60249,62332,64118,66052,67644,67650,67650,69609,72276,74529,76750,78596,78603,78603,80697,83225,85544,87785,89574,89578,89578,90930,93169,95437,97282,98086,98086,98086,99352,100840,102683,103850,104868,104933,104933,105824,107501,108834,109905,110623,110623,110623,111813,113295,114436,115700,115701,115724,115724,116854,118273,119393,120168,120821,120825,120827,122508,124146,125471,126607,127323,127337,127340,128894,131023,132977,134269,135353,135420,135423,137085,138440,140207,142240,143346,143364,143368,143376,147016,149309,152472,155018,155065,155067,155077,159047,162108,164371,165852,166046,166046,167803,169587,171482,173223,174862,174992,174994,176787,178284,179851,181594,181634,181651,181654,182931,184610,185693,186666,187517,187532,187534,188311,189280,190059,191064,191910,191953,191953,192174,192427,192830,193036,193183,193185,193185,193423,193612,196402,198288,199391,199395,199395,199737,200297,202774,204611,205976,206005,206005,206684,207194,207430,209230,210256,210263,210265,211502,212998,213862,214505,214984,214984,214984,216098,217201,217555,217776,217988,217988,217988,218799,219695,220026,220147,220147,220147,220147,220696,221272,221652,221881,222043,222044,222044,222458,222941,223227,223486,223669,223676,223676,224116,224551,224751,224904,225046,225050,225050,225051,226233,227199,227721,228054,228085,228085
